mapel_id,kode_mapel,nama_mapel,mgmp,jam_per_minggu
1,A,PENDIDIKAN AGAMA ISLAM DAN BUDI PEKERTI,Senin,2
2,B,PENDIDIKAN PANCASILA,Selasa,2
3,C,BAHASA INDONESIA,Selasa,5
4,D,MATEMATIKA,Kamis,4
5,E,ILMU PENGETAHUAN ALAM,Kamis,4
6,F,ILMU PENGETAHUAN SOSIAL,Rabu,3
7,G,BAHASA INGGRIS,Senin,3
8,H,PJOK,Senin,2
9,I,INFORMATIKA,Rabu,2
10,J,SENI,Kamis,2
11,K,BAHASA JAWA,Jumat,2
12,L,MULOK,Rabu,3
13,M,DINIYAH,Selasa,2
